file: input.txt;;;;;;;;;;
Bytes read: 872699;;;;;;;;;;
============;;;;;;;;;;
;;;;;;;;;;
0;;0.000;;;;;;0.000;76;Running Hash JENKINS
1;;0.007;;;;;;0.005;69;
2;;0.014;;;;;;0.010;65;
3;;0.021;;;;;;0.015;71;
4;;0.028;;;;;;0.020;74;
5;;0.035;;;;;;0.025;80;
6;;0.042;;;;;;0.030;84;
7;;0.049;;;;;;0.035;78;
8;;0.056;;;;;;0.040;92;
9;;0.063;;;;;;0.045;76;
10;;0.070;;;;;;0.050;84;
11;;0.077;;;;;;0.055;70;
12;;0.084;;;;;;0.060;83;
13;;0.091;;;;;;0.065;79;
14;;0.098;;;;;;0.070;72;
15;;0.105;;;;;;0.075;84;
16;;0.112;;;;;;0.080;77;
17;;0.119;;;;;;0.085;77;
18;;0.126;;;;;;0.090;80;
19;;0.133;;;;;;0.095;79;
20;;0.140;;;;;;0.100;85;
21;;0.147;;;;;;0.105;90;
22;;0.154;;;;;;0.110;83;
23;;0.161;;;;;;0.115;76;
24;;0.168;;;;;;0.120;77;
25;;0.175;;;;;;0.125;88;
26;;0.182;;;;;;0.130;88;
27;;0.189;;;;;;0.135;84;
28;;0.196;;;;;;0.140;60;
29;;0.203;;;;;;0.145;72;
30;;0.210;;;;;;0.150;87;
31;;0.217;;;;;;0.155;82;
32;;0.224;;;;;;0.160;81;
33;;0.231;;;;;;0.165;66;
34;;0.238;;;;;;0.170;92;
35;;0.245;;;;;;0.175;79;
36;;0.252;;;;;;0.180;73;
37;;0.259;;;;;;0.185;86;
38;;0.266;;;;;;0.190;72;
39;;0.273;;;;;;0.195;79;
40;;0.280;;;;;;0.200;80;
41;;0.287;;;;;;0.205;68;
42;;0.294;;;;;;0.210;76;
43;;0.301;;;;;;0.215;81;
44;;0.308;;;;;;0.220;83;
45;;0.315;;;;;;0.225;77;
46;;0.322;;;;;;0.230;83;
47;;0.329;;;;;;0.235;74;
48;;0.336;;;;;;0.240;83;
49;;0.343;;;;;;0.245;83;
50;;0.350;;;;;;0.250;76;
51;;0.357;;;;;;0.255;87;
52;;0.364;;;;;;0.260;77;
53;;0.371;;;;;;0.265;82;
54;;0.378;;;;;;0.270;84;
55;;0.385;;;;;;0.275;83;
56;;0.392;;;;;;0.280;78;
57;;0.399;;;;;;0.285;79;
58;;0.406;;;;;;0.290;77;
59;;0.413;;;;;;0.295;65;
60;;0.420;;;;;;0.300;78;
61;;0.427;;;;;;0.305;77;
62;;0.434;;;;;;0.310;70;
63;;0.441;;;;;;0.315;74;
64;;0.448;;;;;;0.320;96;
65;;0.455;;;;;;0.325;77;
66;;0.462;;;;;;0.330;76;
67;;0.469;;;;;;0.335;60;
68;;0.476;;;;;;0.340;88;
69;;0.483;;;;;;0.345;89;
70;;0.490;;;;;;0.350;70;
